Topwear_Color_Name,Topwear_Hex,Bottomwear_Color_Name,Bottomwear_Hex,Contrast_Score,Trend_Alignment,Season,Occasion,Popularity_Score,Mood_Conveyed,Time_of_Day_Preference,Skin_Tone_Compatibility
Mustard Yellow,#FFDB58,Beige,#F5F5DC,61,Low,All Seasons,Formal,78,Sophisticated,Night,Universal
Sky Blue,#87CEEB,Khaki,#C3B091,80,Low,Fall/Winter,Party,91,Sophisticated,Night,Universal
Black,#000000,Denim Blue,#1560BD,96,High,All Seasons,Casual,56,Classic,Night,Universal
Coral,#FF7F50,Gray,#808080,69,High,All Seasons,Formal,71,Relaxed,Night,Universal
Coral,#FF7F50,Black,#000000,61,High,Spring/Summer,Casual,59,Classic,Night,Universal
Crimson,#DC143C,Burnt Orange,#CC5500,70,Medium,Spring/Summer,Formal,62,Classic,Night,Universal
Coral,#FF7F50,Beige,#F5F5DC,67,Medium,All Seasons,Party,89,Bold,Night,Universal
Sky Blue,#87CEEB,White,#FFFFFF,89,High,Spring/Summer,Party,51,Relaxed,Night,Universal
Black,#000000,White,#FFFFFF,82,Medium,Spring/Summer,Formal,75,Energetic,Night,Universal
Coral,#FF7F50,Teal,#008080,87,Low,Fall/Winter,Party,99,Energetic,Night,Universal
Olive Green,#808000,Denim Blue,#1560BD,72,High,All Seasons,Party,89,Sophisticated,Night,Universal
Sky Blue,#87CEEB,Teal,#008080,91,Low,All Seasons,Casual,69,Sophisticated,Night,Universal
Sky Blue,#87CEEB,Khaki,#C3B091,78,High,Spring/Summer,Casual,73,Energetic,Night,Universal
Lavender,#E6E6FA,Burnt Orange,#CC5500,77,High,All Seasons,Party,51,Bold,Night,Universal
Turquoise,#40E0D0,Black,#000000,73,Medium,Spring/Summer,Formal,73,Relaxed,Night,Universal
Charcoal Gray,#36454F,Denim Blue,#1560BD,72,Medium,Fall/Winter,Casual,91,Classic,Night,Universal
Mustard Yellow,#FFDB58,Teal,#008080,68,Medium,Spring/Summer,Formal,69,Classic,Night,Universal
Charcoal Gray,#36454F,Gray,#808080,96,Medium,Fall/Winter,Formal,82,Sophisticated,Night,Universal
Crimson,#DC143C,Beige,#F5F5DC,85,Medium,All Seasons,Formal,92,Sophisticated,Night,Universal
Crimson,#DC143C,Maroon,#800000,64,Medium,All Seasons,Formal,71,Bold,Night,Universal
Coral,#FF7F50,Burnt Orange,#CC5500,67,High,Fall/Winter,Formal,65,Relaxed,Night,Universal
Charcoal Gray,#36454F,White,#FFFFFF,73,Medium,Fall/Winter,Party,87,Energetic,Night,Universal
Turquoise,#40E0D0,Khaki,#C3B091,88,High,Spring/Summer,Formal,79,Classic,Night,Universal
Black,#000000,Burnt Orange,#CC5500,99,Low,Spring/Summer,Formal,79,Bold,Night,Universal
Coral,#FF7F50,Denim Blue,#1560BD,100,Low,All Seasons,Casual,76,Bold,Night,Universal
Coral,#FF7F50,White,#FFFFFF,67,High,Fall/Winter,Casual,90,Energetic,Night,Universal
Crimson,#DC143C,Denim Blue,#1560BD,92,Medium,All Seasons,Party,66,Classic,Night,Universal
Turquoise,#40E0D0,White,#FFFFFF,61,Medium,Spring/Summer,Formal,51,Classic,Night,Universal
Black,#000000,Denim Blue,#1560BD,84,High,Fall/Winter,Formal,66,Classic,Night,Universal
Mustard Yellow,#FFDB58,Navy Blue,#000080,66,Low,All Seasons,Party,92,Sophisticated,Night,Universal
Olive Green,#808000,Gray,#808080,83,High,Spring/Summer,Party,88,Classic,Night,Universal
White,#FFFFFF,Maroon,#800000,94,Low,Fall/Winter,Party,67,Sophisticated,Night,Universal
Olive Green,#808000,Beige,#F5F5DC,75,Medium,Fall/Winter,Casual,60,Relaxed,Night,Universal
Olive Green,#808000,Teal,#008080,60,Low,Fall/Winter,Party,56,Energetic,Night,Universal
Coral,#FF7F50,White,#FFFFFF,86,Medium,All Seasons,Party,79,Sophisticated,Night,Universal
Lavender,#E6E6FA,Gray,#808080,85,Medium,Spring/Summer,Casual,69,Relaxed,Night,Universal
Coral,#FF7F50,Khaki,#C3B091,81,Low,All Seasons,Casual,56,Relaxed,Night,Universal
Charcoal Gray,#36454F,Teal,#008080,67,High,Fall/Winter,Formal,57,Classic,Night,Universal
Coral,#FF7F50,Burnt Orange,#CC5500,76,Low,Spring/Summer,Casual,100,Sophisticated,Night,Universal
Mustard Yellow,#FFDB58,Khaki,#C3B091,98,Medium,Spring/Summer,Formal,61,Sophisticated,Night,Universal
Turquoise,#40E0D0,Navy Blue,#000080,83,High,Fall/Winter,Casual,69,Energetic,Night,Universal
Olive Green,#808000,Maroon,#800000,100,High,All Seasons,Party,96,Sophisticated,Night,Universal
Crimson,#DC143C,Black,#000000,88,High,All Seasons,Party,75,Sophisticated,Night,Universal
White,#FFFFFF,Gray,#808080,70,High,Spring/Summer,Party,82,Bold,Night,Universal
Coral,#FF7F50,Burnt Orange,#CC5500,66,Medium,Spring/Summer,Formal,97,Relaxed,Night,Universal
Turquoise,#40E0D0,Beige,#F5F5DC,88,High,Spring/Summer,Formal,53,Energetic,Night,Universal
Charcoal Gray,#36454F,Burnt Orange,#CC5500,94,Low,All Seasons,Casual,71,Relaxed,Night,Universal
Charcoal Gray,#36454F,Navy Blue,#000080,88,Medium,All Seasons,Casual,74,Classic,Night,Universal
Crimson,#DC143C,Black,#000000,90,Medium,Spring/Summer,Formal,57,Sophisticated,Night,Universal
Mustard Yellow,#FFDB58,Navy Blue,#000080,94,Low,Fall/Winter,Party,50,Classic,Night,Universal
Turquoise,#40E0D0,White,#FFFFFF,88,Medium,All Seasons,Party,68,Energetic,Night,Universal
Lavender,#E6E6FA,Beige,#F5F5DC,86,High,Fall/Winter,Casual,89,Relaxed,Night,Universal
Lavender,#E6E6FA,Navy Blue,#000080,63,Medium,Fall/Winter,Party,97,Classic,Night,Universal
White,#FFFFFF,Teal,#008080,97,Medium,Fall/Winter,Casual,57,Classic,Night,Universal
Mustard Yellow,#FFDB58,Denim Blue,#1560BD,83,High,Spring/Summer,Formal,76,Relaxed,Night,Universal
Coral,#FF7F50,Khaki,#C3B091,69,High,Spring/Summer,Party,87,Classic,Night,Universal
Sky Blue,#87CEEB,Burnt Orange,#CC5500,72,High,All Seasons,Formal,99,Bold,Night,Universal
Turquoise,#40E0D0,Black,#000000,84,Low,Fall/Winter,Party,85,Bold,Night,Universal
Lavender,#E6E6FA,Teal,#008080,62,Low,Fall/Winter,Casual,52,Classic,Night,Universal
Black,#000000,Burnt Orange,#CC5500,62,Low,Spring/Summer,Party,74,Energetic,Night,Universal
Lavender,#E6E6FA,Khaki,#C3B091,85,High,Fall/Winter,Formal,67,Relaxed,Night,Universal
Sky Blue,#87CEEB,Navy Blue,#000080,76,High,Spring/Summer,Formal,64,Sophisticated,Night,Universal
Turquoise,#40E0D0,Gray,#808080,78,Low,All Seasons,Casual,51,Relaxed,Night,Universal
Olive Green,#808000,Black,#000000,92,High,Spring/Summer,Casual,86,Classic,Night,Universal
White,#FFFFFF,Black,#000000,82,Low,All Seasons,Formal,59,Sophisticated,Night,Universal
White,#FFFFFF,Beige,#F5F5DC,72,Low,Fall/Winter,Formal,76,Classic,Night,Universal
Charcoal Gray,#36454F,Maroon,#800000,88,Medium,All Seasons,Casual,57,Relaxed,Night,Universal
Crimson,#DC143C,Teal,#008080,67,High,Fall/Winter,Casual,65,Sophisticated,Night,Universal
White,#FFFFFF,Black,#000000,89,High,All Seasons,Formal,95,Bold,Night,Universal
Mustard Yellow,#FFDB58,Khaki,#C3B091,74,High,All Seasons,Formal,69,Energetic,Night,Universal
Coral,#FF7F50,White,#FFFFFF,100,Medium,All Seasons,Casual,77,Energetic,Night,Universal
Lavender,#E6E6FA,Beige,#F5F5DC,72,Medium,Fall/Winter,Casual,53,Sophisticated,Night,Universal
Coral,#FF7F50,White,#FFFFFF,77,Low,Spring/Summer,Formal,75,Classic,Night,Universal
White,#FFFFFF,Khaki,#C3B091,96,Medium,All Seasons,Formal,95,Energetic,Night,Universal
Sky Blue,#87CEEB,Navy Blue,#000080,94,Low,Spring/Summer,Formal,80,Relaxed,Night,Universal
Mustard Yellow,#FFDB58,Beige,#F5F5DC,97,Low,Spring/Summer,Casual,91,Relaxed,Night,Universal
Black,#000000,Navy Blue,#000080,82,Low,Fall/Winter,Casual,94,Energetic,Night,Universal
Turquoise,#40E0D0,Denim Blue,#1560BD,61,High,Fall/Winter,Casual,77,Bold,Night,Universal
Turquoise,#40E0D0,Burnt Orange,#CC5500,90,High,Fall/Winter,Formal,97,Bold,Night,Universal
Sky Blue,#87CEEB,Teal,#008080,69,Medium,Spring/Summer,Formal,63,Sophisticated,Night,Universal
Sky Blue,#87CEEB,Gray,#808080,67,Low,Fall/Winter,Formal,52,Bold,Night,Universal
Crimson,#DC143C,Denim Blue,#1560BD,95,High,All Seasons,Party,70,Energetic,Night,Universal
Mustard Yellow,#FFDB58,Burnt Orange,#CC5500,85,Low,Spring/Summer,Casual,58,Sophisticated,Night,Universal
Charcoal Gray,#36454F,Khaki,#C3B091,65,Medium,Fall/Winter,Formal,81,Bold,Night,Universal
Coral,#FF7F50,Maroon,#800000,65,Medium,All Seasons,Party,64,Classic,Night,Universal
Black,#000000,Beige,#F5F5DC,66,Low,Fall/Winter,Casual,84,Energetic,Night,Universal
Black,#000000,Gray,#808080,82,Low,Fall/Winter,Party,89,Relaxed,Night,Universal
Coral,#FF7F50,Gray,#808080,79,Medium,Spring/Summer,Party,50,Relaxed,Night,Universal
Coral,#FF7F50,Khaki,#C3B091,93,Low,Spring/Summer,Party,97,Relaxed,Night,Universal
Lavender,#E6E6FA,Burnt Orange,#CC5500,100,High,All Seasons,Casual,73,Sophisticated,Night,Universal
White,#FFFFFF,Maroon,#800000,90,High,Fall/Winter,Formal,86,Energetic,Night,Universal
Black,#000000,White,#FFFFFF,60,High,Spring/Summer,Casual,61,Classic,Night,Universal
Sky Blue,#87CEEB,Navy Blue,#000080,93,Low,Spring/Summer,Party,64,Sophisticated,Night,Universal
Olive Green,#808000,Black,#000000,76,High,Spring/Summer,Party,73,Bold,Night,Universal
Turquoise,#40E0D0,Navy Blue,#000080,95,High,All Seasons,Casual,96,Sophisticated,Night,Universal
Charcoal Gray,#36454F,Beige,#F5F5DC,77,Medium,Fall/Winter,Formal,92,Relaxed,Night,Universal
Mustard Yellow,#FFDB58,Navy Blue,#000080,78,Low,Spring/Summer,Formal,80,Classic,Night,Universal
Charcoal Gray,#36454F,Maroon,#800000,80,Medium,All Seasons,Party,86,Energetic,Night,Universal
Black,#000000,Black,#000000,99,Low,Fall/Winter,Casual,89,Sophisticated,Night,Universal
Turquoise,#40E0D0,Beige,#F5F5DC,96,Low,Spring/Summer,Party,91,Classic,Night,Universal
Mustard Yellow,#FFDB58,Gray,#808080,91,High,Fall/Winter,Party,60,Classic,Night,Universal
Black,#000000,Teal,#008080,100,High,Spring/Summer,Party,92,Energetic,Night,Universal
Mustard Yellow,#FFDB58,White,#FFFFFF,96,High,All Seasons,Party,53,Bold,Night,Universal
Mustard Yellow,#FFDB58,Maroon,#800000,82,High,All Seasons,Party,88,Bold,Night,Universal
Sky Blue,#87CEEB,Navy Blue,#000080,96,Medium,Fall/Winter,Party,73,Sophisticated,Night,Universal
Coral,#FF7F50,Teal,#008080,90,Medium,Fall/Winter,Party,52,Sophisticated,Night,Universal
Charcoal Gray,#36454F,Gray,#808080,62,Medium,All Seasons,Casual,62,Energetic,Night,Universal
Coral,#FF7F50,White,#FFFFFF,65,Low,All Seasons,Party,55,Relaxed,Night,Universal
Charcoal Gray,#36454F,Khaki,#C3B091,79,High,Fall/Winter,Formal,60,Energetic,Night,Universal
Charcoal Gray,#36454F,Gray,#808080,61,Low,All Seasons,Formal,50,Energetic,Night,Universal
Lavender,#E6E6FA,White,#FFFFFF,100,Medium,All Seasons,Formal,67,Bold,Night,Universal
Turquoise,#40E0D0,Black,#000000,65,Medium,Fall/Winter,Formal,99,Relaxed,Night,Universal
White,#FFFFFF,Gray,#808080,78,High,All Seasons,Casual,74,Relaxed,Night,Universal
Turquoise,#40E0D0,Burnt Orange,#CC5500,93,High,All Seasons,Party,73,Energetic,Night,Universal
Mustard Yellow,#FFDB58,Black,#000000,67,High,Spring/Summer,Casual,70,Energetic,Night,Universal
Olive Green,#808000,Beige,#F5F5DC,60,Low,Spring/Summer,Party,91,Bold,Night,Universal
Mustard Yellow,#FFDB58,Gray,#808080,79,High,All Seasons,Casual,64,Relaxed,Night,Universal
Sky Blue,#87CEEB,Maroon,#800000,100,High,Spring/Summer,Party,74,Classic,Night,Universal
Mustard Yellow,#FFDB58,Burnt Orange,#CC5500,87,High,All Seasons,Casual,96,Energetic,Night,Universal
Sky Blue,#87CEEB,Teal,#008080,82,Medium,Spring/Summer,Formal,100,Classic,Night,Universal
Lavender,#E6E6FA,Burnt Orange,#CC5500,90,Low,All Seasons,Casual,67,Relaxed,Night,Universal
Mustard Yellow,#FFDB58,Maroon,#800000,81,Low,Fall/Winter,Formal,74,Energetic,Night,Universal
Coral,#FF7F50,Denim Blue,#1560BD,80,Low,Fall/Winter,Casual,69,Classic,Night,Universal
White,#FFFFFF,Beige,#F5F5DC,88,Medium,All Seasons,Formal,53,Sophisticated,Night,Universal
Lavender,#E6E6FA,Navy Blue,#000080,68,High,Spring/Summer,Party,77,Classic,Night,Universal
Charcoal Gray,#36454F,Burnt Orange,#CC5500,98,Low,All Seasons,Party,93,Sophisticated,Night,Universal
Crimson,#DC143C,Teal,#008080,72,Medium,Fall/Winter,Party,54,Sophisticated,Night,Universal
Turquoise,#40E0D0,Teal,#008080,92,Low,All Seasons,Party,98,Sophisticated,Night,Universal
Charcoal Gray,#36454F,Black,#000000,92,High,All Seasons,Formal,66,Relaxed,Night,Universal
Sky Blue,#87CEEB,Black,#000000,87,Medium,Fall/Winter,Formal,95,Classic,Night,Universal
Olive Green,#808000,Gray,#808080,75,Medium,Spring/Summer,Formal,55,Sophisticated,Night,Universal
Crimson,#DC143C,Burnt Orange,#CC5500,61,Medium,Spring/Summer,Party,85,Classic,Night,Universal
Sky Blue,#87CEEB,Denim Blue,#1560BD,76,Medium,Fall/Winter,Formal,74,Energetic,Night,Universal
Black,#000000,Gray,#808080,67,Medium,Fall/Winter,Formal,88,Relaxed,Night,Universal
Sky Blue,#87CEEB,Gray,#808080,62,Medium,Fall/Winter,Formal,82,Energetic,Night,Universal
White,#FFFFFF,Navy Blue,#000080,73,Medium,All Seasons,Casual,54,Sophisticated,Night,Universal
Olive Green,#808000,Black,#000000,82,High,All Seasons,Casual,70,Bold,Night,Universal
Coral,#FF7F50,Navy Blue,#000080,93,High,Spring/Summer,Party,94,Sophisticated,Night,Universal
Mustard Yellow,#FFDB58,Teal,#008080,89,High,All Seasons,Casual,100,Energetic,Night,Universal
Turquoise,#40E0D0,White,#FFFFFF,82,High,Spring/Summer,Party,94,Bold,Night,Universal
Lavender,#E6E6FA,Navy Blue,#000080,81,High,Spring/Summer,Party,54,Classic,Night,Universal
Lavender,#E6E6FA,Beige,#F5F5DC,64,Low,All Seasons,Formal,61,Relaxed,Night,Universal
Mustard Yellow,#FFDB58,Navy Blue,#000080,95,Medium,Fall/Winter,Casual,80,Bold,Night,Universal
Turquoise,#40E0D0,Gray,#808080,100,High,Fall/Winter,Casual,71,Energetic,Night,Universal
Charcoal Gray,#36454F,White,#FFFFFF,92,High,Fall/Winter,Party,80,Energetic,Night,Universal
Charcoal Gray,#36454F,Navy Blue,#000080,76,Low,Fall/Winter,Party,77,Relaxed,Night,Universal
Olive Green,#808000,White,#FFFFFF,74,Medium,Spring/Summer,Party,98,Energetic,Night,Universal
Olive Green,#808000,Navy Blue,#000080,65,Medium,All Seasons,Casual,95,Classic,Night,Universal
Mustard Yellow,#FFDB58,Maroon,#800000,62,Medium,All Seasons,Formal,58,Sophisticated,Night,Universal
Lavender,#E6E6FA,Khaki,#C3B091,80,Medium,Spring/Summer,Casual,50,Classic,Night,Universal
Mustard Yellow,#FFDB58,Burnt Orange,#CC5500,94,Low,All Seasons,Party,80,Classic,Night,Universal
White,#FFFFFF,Denim Blue,#1560BD,67,Medium,All Seasons,Casual,89,Sophisticated,Night,Universal
Charcoal Gray,#36454F,Teal,#008080,100,Low,All Seasons,Casual,96,Sophisticated,Night,Universal
Lavender,#E6E6FA,Beige,#F5F5DC,84,Medium,All Seasons,Casual,93,Relaxed,Night,Universal
Sky Blue,#87CEEB,Maroon,#800000,76,Medium,Fall/Winter,Casual,53,Bold,Night,Universal
Turquoise,#40E0D0,Teal,#008080,93,Low,Fall/Winter,Party,80,Energetic,Night,Universal
White,#FFFFFF,Beige,#F5F5DC,91,Medium,Spring/Summer,Party,67,Bold,Night,Universal
Black,#000000,Burnt Orange,#CC5500,97,Medium,Fall/Winter,Casual,64,Bold,Night,Universal
Lavender,#E6E6FA,Burnt Orange,#CC5500,84,Medium,Fall/Winter,Formal,68,Relaxed,Night,Universal
Lavender,#E6E6FA,Burnt Orange,#CC5500,88,Low,All Seasons,Formal,61,Bold,Night,Universal
White,#FFFFFF,Teal,#008080,71,High,Spring/Summer,Casual,98,Sophisticated,Night,Universal
White,#FFFFFF,Burnt Orange,#CC5500,100,Medium,All Seasons,Casual,81,Bold,Night,Universal
Charcoal Gray,#36454F,Burnt Orange,#CC5500,81,Low,Fall/Winter,Casual,71,Relaxed,Night,Universal
Crimson,#DC143C,Denim Blue,#1560BD,90,High,Fall/Winter,Party,96,Classic,Night,Universal
Olive Green,#808000,Khaki,#C3B091,98,Low,All Seasons,Party,93,Classic,Night,Universal
Mustard Yellow,#FFDB58,Teal,#008080,93,Low,Spring/Summer,Casual,58,Relaxed,Night,Universal
