Topwear_Color_Name,Topwear_Hex,Bottomwear_Color_Name,Bottomwear_Hex,Contrast_Score,Trend_Alignment,Season,Occasion,Popularity_Score,Mood_Conveyed,Time_of_Day_Preference,Skin_Tone_Compatibility
Olive Green,#808000,Khaki,#C3B091,87,Medium,Spring/Summer,Casual,54,Bold,Night,Universal
Olive Green,#808000,White,#FFFFFF,80,High,All Seasons,Party,50,Sophisticated,Night,Universal
Black,#000000,Teal,#008080,64,Medium,All Seasons,Formal,59,Bold,Night,Universal
White,#FFFFFF,Denim Blue,#1560BD,93,High,Spring/Summer,Casual,69,Energetic,Night,Universal
Lavender,#E6E6FA,Beige,#F5F5DC,100,Medium,Fall/Winter,Casual,71,Relaxed,Night,Universal
Crimson,#DC143C,Burnt Orange,#CC5500,88,Low,Fall/Winter,Formal,86,Sophisticated,Night,Universal
Charcoal Gray,#36454F,White,#FFFFFF,81,Medium,All Seasons,Party,51,Sophisticated,Night,Universal
Olive Green,#808000,White,#FFFFFF,68,High,Fall/Winter,Casual,99,Classic,Night,Universal
Coral,#FF7F50,Gray,#808080,89,Low,Fall/Winter,Casual,68,Classic,Night,Universal
White,#FFFFFF,Gray,#808080,63,Low,Fall/Winter,Formal,73,Bold,Night,Universal
Charcoal Gray,#36454F,Navy Blue,#000080,78,High,Fall/Winter,Casual,63,Sophisticated,Night,Universal
Black,#000000,Denim Blue,#1560BD,91,High,All Seasons,Party,94,Classic,Night,Universal
White,#FFFFFF,Navy Blue,#000080,69,Medium,Spring/Summer,Formal,62,Bold,Night,Universal
Olive Green,#808000,Black,#000000,83,High,Spring/Summer,Formal,98,Relaxed,Night,Universal
Charcoal Gray,#36454F,Gray,#808080,64,Low,Fall/Winter,Party,85,Energetic,Night,Universal
Charcoal Gray,#36454F,Teal,#008080,86,Low,Fall/Winter,Party,50,Classic,Night,Universal
Crimson,#DC143C,Gray,#808080,64,High,Fall/Winter,Casual,100,Sophisticated,Night,Universal
Black,#000000,Navy Blue,#000080,74,High,All Seasons,Casual,87,Bold,Night,Universal
Olive Green,#808000,Denim Blue,#1560BD,99,Low,Spring/Summer,Formal,55,Sophisticated,Night,Universal
Turquoise,#40E0D0,Maroon,#800000,78,Medium,All Seasons,Casual,79,Classic,Night,Universal
Lavender,#E6E6FA,Burnt Orange,#CC5500,77,Low,Spring/Summer,Casual,81,Energetic,Night,Universal
Turquoise,#40E0D0,Gray,#808080,77,Low,Spring/Summer,Casual,53,Sophisticated,Night,Universal
Turquoise,#40E0D0,Black,#000000,92,Medium,Spring/Summer,Formal,87,Relaxed,Night,Universal
Charcoal Gray,#36454F,Teal,#008080,71,High,All Seasons,Party,59,Sophisticated,Night,Universal
Mustard Yellow,#FFDB58,Navy Blue,#000080,90,High,All Seasons,Formal,79,Classic,Night,Universal
Black,#000000,Beige,#F5F5DC,77,High,All Seasons,Party,74,Energetic,Night,Universal
Coral,#FF7F50,Navy Blue,#000080,72,High,Spring/Summer,Casual,72,Sophisticated,Night,Universal
Sky Blue,#87CEEB,Khaki,#C3B091,75,High,All Seasons,Party,70,Bold,Night,Universal
Sky Blue,#87CEEB,Denim Blue,#1560BD,76,Medium,Fall/Winter,Casual,61,Relaxed,Night,Universal
Crimson,#DC143C,White,#FFFFFF,88,High,Spring/Summer,Party,96,Bold,Night,Universal
Olive Green,#808000,Denim Blue,#1560BD,67,Low,Spring/Summer,Casual,61,Relaxed,Night,Universal
Black,#000000,Denim Blue,#1560BD,62,Low,All Seasons,Formal,65,Bold,Night,Universal
Mustard Yellow,#FFDB58,Maroon,#800000,62,High,Fall/Winter,Casual,58,Energetic,Night,Universal
Charcoal Gray,#36454F,Denim Blue,#1560BD,94,Medium,Fall/Winter,Formal,56,Relaxed,Night,Universal
Olive Green,#808000,Maroon,#800000,65,Low,Spring/Summer,Formal,100,Relaxed,Night,Universal
Coral,#FF7F50,White,#FFFFFF,90,Low,Fall/Winter,Casual,60,Classic,Night,Universal
Sky Blue,#87CEEB,Teal,#008080,87,High,Spring/Summer,Party,71,Energetic,Night,Universal
Coral,#FF7F50,Maroon,#800000,62,High,Spring/Summer,Party,90,Sophisticated,Night,Universal
Black,#000000,Beige,#F5F5DC,96,Low,All Seasons,Casual,80,Relaxed,Night,Universal
Lavender,#E6E6FA,Teal,#008080,100,Medium,All Seasons,Casual,81,Classic,Night,Universal
Turquoise,#40E0D0,Navy Blue,#000080,68,High,All Seasons,Casual,55,Bold,Night,Universal
White,#FFFFFF,Khaki,#C3B091,72,High,All Seasons,Formal,67,Relaxed,Night,Universal
Coral,#FF7F50,Maroon,#800000,86,Medium,All Seasons,Formal,95,Classic,Night,Universal
Lavender,#E6E6FA,Maroon,#800000,66,Low,Fall/Winter,Casual,98,Sophisticated,Night,Universal
Lavender,#E6E6FA,Teal,#008080,75,High,Spring/Summer,Formal,94,Relaxed,Night,Universal
Charcoal Gray,#36454F,Denim Blue,#1560BD,98,High,Spring/Summer,Casual,94,Bold,Night,Universal
Sky Blue,#87CEEB,Burnt Orange,#CC5500,66,High,Fall/Winter,Casual,78,Bold,Night,Universal
Coral,#FF7F50,Black,#000000,76,Medium,Fall/Winter,Casual,86,Relaxed,Night,Universal
Lavender,#E6E6FA,White,#FFFFFF,90,Low,Spring/Summer,Party,96,Energetic,Night,Universal
Lavender,#E6E6FA,Beige,#F5F5DC,82,High,Spring/Summer,Casual,67,Energetic,Night,Universal
Charcoal Gray,#36454F,Gray,#808080,71,High,All Seasons,Formal,55,Energetic,Night,Universal
Turquoise,#40E0D0,Beige,#F5F5DC,91,Medium,All Seasons,Party,84,Bold,Night,Universal
Lavender,#E6E6FA,Burnt Orange,#CC5500,85,High,All Seasons,Casual,73,Relaxed,Night,Universal
Olive Green,#808000,Denim Blue,#1560BD,80,Low,Spring/Summer,Party,90,Energetic,Night,Universal
Mustard Yellow,#FFDB58,Khaki,#C3B091,73,Medium,Spring/Summer,Casual,84,Classic,Night,Universal
Mustard Yellow,#FFDB58,Black,#000000,60,Low,Fall/Winter,Party,52,Classic,Night,Universal
Mustard Yellow,#FFDB58,Denim Blue,#1560BD,97,Medium,Spring/Summer,Casual,98,Classic,Night,Universal
Olive Green,#808000,Gray,#808080,95,Medium,Fall/Winter,Party,67,Sophisticated,Night,Universal
Olive Green,#808000,Gray,#808080,80,High,Fall/Winter,Party,59,Sophisticated,Night,Universal
Coral,#FF7F50,Maroon,#800000,60,Low,Fall/Winter,Party,75,Bold,Night,Universal
White,#FFFFFF,Teal,#008080,62,Medium,All Seasons,Casual,50,Bold,Night,Universal
Turquoise,#40E0D0,Gray,#808080,87,Low,Spring/Summer,Party,98,Classic,Night,Universal
Sky Blue,#87CEEB,Gray,#808080,64,High,Fall/Winter,Formal,58,Classic,Night,Universal
Mustard Yellow,#FFDB58,Beige,#F5F5DC,83,Low,Spring/Summer,Formal,93,Classic,Night,Universal
Turquoise,#40E0D0,Teal,#008080,97,Medium,All Seasons,Formal,66,Relaxed,Night,Universal
Lavender,#E6E6FA,Denim Blue,#1560BD,79,Low,Spring/Summer,Casual,90,Energetic,Night,Universal
Black,#000000,Teal,#008080,78,High,Spring/Summer,Casual,51,Relaxed,Night,Universal
White,#FFFFFF,Maroon,#800000,74,Low,All Seasons,Casual,63,Sophisticated,Night,Universal
White,#FFFFFF,Denim Blue,#1560BD,71,High,Fall/Winter,Party,77,Relaxed,Night,Universal
Olive Green,#808000,Black,#000000,87,Low,Fall/Winter,Formal,66,Classic,Night,Universal
Coral,#FF7F50,Denim Blue,#1560BD,91,Medium,Spring/Summer,Party,67,Relaxed,Night,Universal
Sky Blue,#87CEEB,Burnt Orange,#CC5500,91,High,All Seasons,Formal,77,Bold,Night,Universal
Charcoal Gray,#36454F,Khaki,#C3B091,69,Low,Fall/Winter,Party,99,Energetic,Night,Universal
Charcoal Gray,#36454F,Teal,#008080,89,Low,Fall/Winter,Party,83,Relaxed,Night,Universal
Sky Blue,#87CEEB,Navy Blue,#000080,67,High,All Seasons,Party,98,Relaxed,Night,Universal
White,#FFFFFF,Navy Blue,#000080,94,Low,All Seasons,Casual,87,Bold,Night,Universal
Olive Green,#808000,Gray,#808080,62,Low,Fall/Winter,Party,59,Bold,Night,Universal
Coral,#FF7F50,Navy Blue,#000080,70,High,Fall/Winter,Casual,71,Bold,Night,Universal
Lavender,#E6E6FA,Teal,#008080,73,High,All Seasons,Formal,59,Bold,Night,Universal
Coral,#FF7F50,Gray,#808080,95,Medium,All Seasons,Formal,89,Sophisticated,Night,Universal
Charcoal Gray,#36454F,Burnt Orange,#CC5500,65,Low,All Seasons,Casual,99,Relaxed,Night,Universal
Olive Green,#808000,Beige,#F5F5DC,89,Low,Fall/Winter,Formal,63,Relaxed,Night,Universal
Turquoise,#40E0D0,Black,#000000,67,Low,All Seasons,Formal,89,Classic,Night,Universal
Sky Blue,#87CEEB,Denim Blue,#1560BD,88,High,All Seasons,Casual,70,Bold,Night,Universal
Turquoise,#40E0D0,Black,#000000,61,Medium,Fall/Winter,Party,67,Relaxed,Night,Universal
Sky Blue,#87CEEB,White,#FFFFFF,83,High,Spring/Summer,Party,74,Bold,Night,Universal
Black,#000000,Black,#000000,86,High,All Seasons,Party,69,Bold,Night,Universal
Crimson,#DC143C,Navy Blue,#000080,60,Medium,Fall/Winter,Formal,98,Bold,Night,Universal
Coral,#FF7F50,Black,#000000,100,Low,Spring/Summer,Casual,76,Relaxed,Night,Universal
Charcoal Gray,#36454F,Khaki,#C3B091,69,Medium,All Seasons,Casual,86,Relaxed,Night,Universal
Black,#000000,Black,#000000,88,Low,Spring/Summer,Casual,95,Sophisticated,Night,Universal
Mustard Yellow,#FFDB58,Denim Blue,#1560BD,76,Low,Fall/Winter,Party,91,Relaxed,Night,Universal
White,#FFFFFF,Khaki,#C3B091,92,Medium,All Seasons,Party,58,Bold,Night,Universal
Turquoise,#40E0D0,Khaki,#C3B091,78,High,Spring/Summer,Casual,71,Sophisticated,Night,Universal
Sky Blue,#87CEEB,Khaki,#C3B091,78,Medium,Spring/Summer,Casual,80,Energetic,Night,Universal
Turquoise,#40E0D0,Denim Blue,#1560BD,82,Low,Fall/Winter,Casual,76,Energetic,Night,Universal
Charcoal Gray,#36454F,Gray,#808080,73,Medium,Fall/Winter,Formal,52,Bold,Night,Universal
Coral,#FF7F50,Beige,#F5F5DC,77,Low,Fall/Winter,Party,68,Bold,Night,Universal
Lavender,#E6E6FA,Khaki,#C3B091,88,Low,All Seasons,Formal,53,Relaxed,Night,Universal
Coral,#FF7F50,Khaki,#C3B091,66,Low,Fall/Winter,Casual,96,Sophisticated,Night,Universal
Black,#000000,Gray,#808080,60,High,Spring/Summer,Casual,95,Relaxed,Night,Universal
Charcoal Gray,#36454F,Maroon,#800000,100,High,Fall/Winter,Party,92,Bold,Night,Universal
Turquoise,#40E0D0,White,#FFFFFF,79,Low,Spring/Summer,Casual,61,Relaxed,Night,Universal
Black,#000000,Denim Blue,#1560BD,84,High,Spring/Summer,Party,53,Energetic,Night,Universal
White,#FFFFFF,Navy Blue,#000080,75,Low,All Seasons,Party,90,Energetic,Night,Universal
Black,#000000,Khaki,#C3B091,100,High,All Seasons,Party,66,Bold,Night,Universal
Lavender,#E6E6FA,Teal,#008080,74,High,Fall/Winter,Casual,68,Classic,Night,Universal
Black,#000000,Beige,#F5F5DC,96,Medium,Spring/Summer,Party,61,Sophisticated,Night,Universal
Mustard Yellow,#FFDB58,Burnt Orange,#CC5500,72,Low,Spring/Summer,Formal,61,Classic,Night,Universal
Olive Green,#808000,Maroon,#800000,98,Medium,Spring/Summer,Formal,61,Classic,Night,Universal
Charcoal Gray,#36454F,Beige,#F5F5DC,60,High,Spring/Summer,Formal,67,Bold,Night,Universal
Lavender,#E6E6FA,White,#FFFFFF,75,Low,All Seasons,Formal,65,Classic,Night,Universal
Black,#000000,Black,#000000,67,High,All Seasons,Formal,80,Bold,Night,Universal
Lavender,#E6E6FA,Gray,#808080,63,Medium,Spring/Summer,Casual,59,Sophisticated,Night,Universal
Turquoise,#40E0D0,Black,#000000,93,Medium,Spring/Summer,Casual,55,Bold,Night,Universal
Black,#000000,Teal,#008080,82,High,All Seasons,Party,58,Energetic,Night,Universal
Sky Blue,#87CEEB,Gray,#808080,84,Low,Fall/Winter,Casual,94,Bold,Night,Universal
Turquoise,#40E0D0,Teal,#008080,81,High,Spring/Summer,Formal,94,Sophisticated,Night,Universal
Turquoise,#40E0D0,Maroon,#800000,80,Medium,All Seasons,Casual,63,Relaxed,Night,Universal
Charcoal Gray,#36454F,Black,#000000,89,Low,Spring/Summer,Casual,70,Sophisticated,Night,Universal
Mustard Yellow,#FFDB58,Maroon,#800000,62,High,All Seasons,Party,73,Energetic,Night,Universal
Turquoise,#40E0D0,Khaki,#C3B091,97,Low,Spring/Summer,Formal,75,Relaxed,Night,Universal
White,#FFFFFF,White,#FFFFFF,73,Low,Fall/Winter,Formal,55,Sophisticated,Night,Universal
Crimson,#DC143C,Maroon,#800000,65,Low,Fall/Winter,Party,86,Sophisticated,Night,Universal
Coral,#FF7F50,White,#FFFFFF,85,High,Fall/Winter,Party,83,Energetic,Night,Universal
Sky Blue,#87CEEB,Denim Blue,#1560BD,87,Medium,Spring/Summer,Casual,54,Energetic,Night,Universal
Turquoise,#40E0D0,Navy Blue,#000080,86,Low,Spring/Summer,Formal,71,Classic,Night,Universal
Turquoise,#40E0D0,Black,#000000,72,High,All Seasons,Party,99,Bold,Night,Universal
Lavender,#E6E6FA,Denim Blue,#1560BD,72,Medium,All Seasons,Formal,98,Energetic,Night,Universal
Charcoal Gray,#36454F,White,#FFFFFF,63,High,Fall/Winter,Formal,94,Energetic,Night,Universal
Mustard Yellow,#FFDB58,Maroon,#800000,71,Low,Spring/Summer,Formal,79,Relaxed,Night,Universal
Crimson,#DC143C,Gray,#808080,81,High,Fall/Winter,Formal,77,Energetic,Night,Universal
Mustard Yellow,#FFDB58,Teal,#008080,91,Medium,All Seasons,Casual,88,Energetic,Night,Universal
Charcoal Gray,#36454F,Navy Blue,#000080,70,High,All Seasons,Party,76,Energetic,Night,Universal
Crimson,#DC143C,Black,#000000,67,High,Spring/Summer,Formal,77,Classic,Night,Universal
Black,#000000,Gray,#808080,83,High,All Seasons,Casual,51,Sophisticated,Night,Universal
Turquoise,#40E0D0,Maroon,#800000,70,High,Spring/Summer,Casual,63,Sophisticated,Night,Universal
Crimson,#DC143C,White,#FFFFFF,99,Low,Fall/Winter,Party,91,Relaxed,Night,Universal
Olive Green,#808000,Teal,#008080,74,High,Spring/Summer,Party,56,Bold,Night,Universal
Sky Blue,#87CEEB,Burnt Orange,#CC5500,76,High,Spring/Summer,Formal,69,Bold,Night,Universal
Mustard Yellow,#FFDB58,Black,#000000,76,Low,Fall/Winter,Party,91,Classic,Night,Universal
Olive Green,#808000,Beige,#F5F5DC,100,Low,Spring/Summer,Formal,58,Relaxed,Night,Universal
Olive Green,#808000,White,#FFFFFF,85,High,Spring/Summer,Casual,69,Bold,Night,Universal
Coral,#FF7F50,Navy Blue,#000080,79,Low,All Seasons,Party,73,Energetic,Night,Universal
Turquoise,#40E0D0,Navy Blue,#000080,81,Medium,Spring/Summer,Party,63,Bold,Night,Universal
Mustard Yellow,#FFDB58,Burnt Orange,#CC5500,77,High,All Seasons,Party,94,Energetic,Night,Universal
White,#FFFFFF,White,#FFFFFF,95,Medium,All Seasons,Party,92,Classic,Night,Universal
Charcoal Gray,#36454F,Black,#000000,95,Low,All Seasons,Party,77,Energetic,Night,Universal
Black,#000000,Burnt Orange,#CC5500,91,Low,All Seasons,Party,65,Energetic,Night,Universal
Coral,#FF7F50,Teal,#008080,91,Low,Fall/Winter,Party,89,Bold,Night,Universal
Lavender,#E6E6FA,White,#FFFFFF,78,Low,Fall/Winter,Formal,74,Energetic,Night,Universal
Black,#000000,Denim Blue,#1560BD,75,Low,Fall/Winter,Formal,74,Sophisticated,Night,Universal
Coral,#FF7F50,Teal,#008080,80,High,Spring/Summer,Formal,93,Relaxed,Night,Universal
Sky Blue,#87CEEB,Gray,#808080,76,Low,All Seasons,Casual,51,Energetic,Night,Universal
Charcoal Gray,#36454F,Burnt Orange,#CC5500,78,Medium,All Seasons,Formal,58,Sophisticated,Night,Universal
White,#FFFFFF,Navy Blue,#000080,74,Medium,All Seasons,Party,68,Classic,Night,Universal
Crimson,#DC143C,Khaki,#C3B091,92,Low,Spring/Summer,Casual,52,Energetic,Night,Universal
Charcoal Gray,#36454F,Navy Blue,#000080,94,Low,Spring/Summer,Formal,60,Energetic,Night,Universal
Coral,#FF7F50,Beige,#F5F5DC,61,Low,Fall/Winter,Party,93,Energetic,Night,Universal
Black,#000000,Teal,#008080,74,High,Spring/Summer,Casual,77,Bold,Night,Universal
Coral,#FF7F50,Beige,#F5F5DC,96,Medium,Spring/Summer,Party,61,Relaxed,Night,Universal
Crimson,#DC143C,White,#FFFFFF,66,Low,All Seasons,Casual,69,Classic,Night,Universal
Coral,#FF7F50,Navy Blue,#000080,62,Medium,All Seasons,Casual,58,Relaxed,Night,Universal
Turquoise,#40E0D0,Burnt Orange,#CC5500,69,Medium,Fall/Winter,Casual,66,Bold,Night,Universal
Lavender,#E6E6FA,White,#FFFFFF,98,Low,Spring/Summer,Casual,58,Relaxed,Night,Universal
Mustard Yellow,#FFDB58,Gray,#808080,82,Medium,All Seasons,Formal,93,Relaxed,Night,Universal
Black,#000000,White,#FFFFFF,72,Low,Spring/Summer,Party,86,Relaxed,Night,Universal
White,#FFFFFF,Khaki,#C3B091,90,Low,Fall/Winter,Party,75,Classic,Night,Universal
Sky Blue,#87CEEB,Beige,#F5F5DC,71,Medium,Fall/Winter,Casual,72,Relaxed,Night,Universal
Olive Green,#808000,Denim Blue,#1560BD,73,Medium,All Seasons,Formal,81,Bold,Night,Universal
