Topwear_Color_Name,Topwear_Hex,Bottomwear_Color_Name,Bottomwear_Hex,Contrast_Score,Trend_Alignment,Season,Occasion,Popularity_Score,Mood_Conveyed,Time_of_Day_Preference,Skin_Tone_Compatibility
Black,#000000,Burnt Orange,#CC5500,100,High,All Seasons,Formal,66,Sophisticated,Night,Universal
Lavender,#E6E6FA,Navy Blue,#000080,70,Medium,All Seasons,Formal,59,Bold,Night,Universal
Olive Green,#808000,Maroon,#800000,70,Medium,All Seasons,Party,58,Classic,Night,Universal
Charcoal Gray,#36454F,Maroon,#800000,93,High,Fall/Winter,Party,97,Bold,Night,Universal
Mustard Yellow,#FFDB58,White,#FFFFFF,81,High,Spring/Summer,Casual,56,Relaxed,Night,Universal
Charcoal Gray,#36454F,Gray,#808080,95,Medium,All Seasons,Party,61,Energetic,Night,Universal
Turquoise,#40E0D0,Beige,#F5F5DC,88,Medium,Fall/Winter,Formal,65,Relaxed,Night,Universal
Sky Blue,#87CEEB,Maroon,#800000,84,High,Fall/Winter,Formal,65,Classic,Night,Universal
White,#FFFFFF,Maroon,#800000,73,Low,Spring/Summer,Party,91,Relaxed,Night,Universal
White,#FFFFFF,Gray,#808080,78,High,All Seasons,Casual,58,Energetic,Night,Universal
Olive Green,#808000,Maroon,#800000,88,Medium,Fall/Winter,Formal,85,Relaxed,Night,Universal
Olive Green,#808000,Black,#000000,93,High,Fall/Winter,Party,75,Sophisticated,Night,Universal
Mustard Yellow,#FFDB58,Navy Blue,#000080,96,Medium,Spring/Summer,Party,58,Classic,Night,Universal
Lavender,#E6E6FA,Denim Blue,#1560BD,84,Medium,Spring/Summer,Formal,77,Classic,Night,Universal
Charcoal Gray,#36454F,Gray,#808080,68,High,All Seasons,Casual,56,Classic,Night,Universal
Crimson,#DC143C,Black,#000000,94,High,All Seasons,Formal,50,Bold,Night,Universal
Lavender,#E6E6FA,Beige,#F5F5DC,87,Medium,All Seasons,Party,73,Energetic,Night,Universal
Mustard Yellow,#FFDB58,Beige,#F5F5DC,63,High,Spring/Summer,Party,66,Bold,Night,Universal
Lavender,#E6E6FA,Beige,#F5F5DC,84,High,All Seasons,Casual,54,Classic,Night,Universal
Mustard Yellow,#FFDB58,White,#FFFFFF,89,Low,Fall/Winter,Casual,73,Bold,Night,Universal
Charcoal Gray,#36454F,Beige,#F5F5DC,93,High,Fall/Winter,Formal,88,Relaxed,Night,Universal
Charcoal Gray,#36454F,Burnt Orange,#CC5500,96,High,All Seasons,Casual,74,Bold,Night,Universal
Charcoal Gray,#36454F,Khaki,#C3B091,88,Low,Spring/Summer,Formal,73,Sophisticated,Night,Universal
Black,#000000,Teal,#008080,90,High,Spring/Summer,Party,72,Sophisticated,Night,Universal
Crimson,#DC143C,Maroon,#800000,81,Medium,All Seasons,Formal,80,Relaxed,Night,Universal
Mustard Yellow,#FFDB58,Beige,#F5F5DC,91,Low,All Seasons,Casual,60,Sophisticated,Night,Universal
Sky Blue,#87CEEB,White,#FFFFFF,82,High,All Seasons,Party,69,Energetic,Night,Universal
Lavender,#E6E6FA,Maroon,#800000,95,Low,Spring/Summer,Formal,94,Energetic,Night,Universal
Lavender,#E6E6FA,Khaki,#C3B091,90,Low,Fall/Winter,Casual,66,Sophisticated,Night,Universal
Coral,#FF7F50,Teal,#008080,98,Medium,All Seasons,Party,76,Energetic,Night,Universal
Black,#000000,Denim Blue,#1560BD,95,Medium,All Seasons,Party,84,Classic,Night,Universal
Coral,#FF7F50,Teal,#008080,79,High,Spring/Summer,Casual,50,Bold,Night,Universal
White,#FFFFFF,Gray,#808080,77,Medium,Spring/Summer,Party,98,Bold,Night,Universal
Charcoal Gray,#36454F,Black,#000000,84,Medium,Fall/Winter,Party,97,Relaxed,Night,Universal
White,#FFFFFF,Beige,#F5F5DC,86,High,All Seasons,Casual,57,Classic,Night,Universal
Coral,#FF7F50,Teal,#008080,90,Low,All Seasons,Formal,84,Energetic,Night,Universal
Coral,#FF7F50,Denim Blue,#1560BD,80,Medium,All Seasons,Party,86,Bold,Night,Universal
Black,#000000,Maroon,#800000,64,Medium,Spring/Summer,Casual,81,Classic,Night,Universal
Coral,#FF7F50,Navy Blue,#000080,69,High,Spring/Summer,Formal,93,Relaxed,Night,Universal
Mustard Yellow,#FFDB58,Maroon,#800000,80,Medium,Fall/Winter,Casual,84,Bold,Night,Universal
Olive Green,#808000,Gray,#808080,68,Low,All Seasons,Formal,66,Relaxed,Night,Universal
Black,#000000,Denim Blue,#1560BD,94,High,Spring/Summer,Formal,86,Bold,Night,Universal
Crimson,#DC143C,White,#FFFFFF,91,High,All Seasons,Party,74,Bold,Night,Universal
Mustard Yellow,#FFDB58,Maroon,#800000,68,Low,All Seasons,Party,70,Relaxed,Night,Universal
Lavender,#E6E6FA,Maroon,#800000,95,Low,Fall/Winter,Formal,55,Bold,Night,Universal
Olive Green,#808000,White,#FFFFFF,65,Medium,All Seasons,Party,84,Classic,Night,Universal
White,#FFFFFF,Teal,#008080,94,High,All Seasons,Casual,75,Relaxed,Night,Universal
Charcoal Gray,#36454F,Denim Blue,#1560BD,65,Low,Spring/Summer,Casual,86,Relaxed,Night,Universal
Crimson,#DC143C,Navy Blue,#000080,74,Low,Spring/Summer,Formal,59,Sophisticated,Night,Universal
Mustard Yellow,#FFDB58,Teal,#008080,64,Medium,Spring/Summer,Casual,52,Relaxed,Night,Universal
Charcoal Gray,#36454F,Beige,#F5F5DC,60,High,All Seasons,Party,95,Energetic,Night,Universal
White,#FFFFFF,Gray,#808080,64,Low,Spring/Summer,Formal,90,Relaxed,Night,Universal
Sky Blue,#87CEEB,Gray,#808080,79,High,Spring/Summer,Party,88,Sophisticated,Night,Universal
Sky Blue,#87CEEB,Maroon,#800000,96,Low,All Seasons,Casual,81,Classic,Night,Universal
Black,#000000,Burnt Orange,#CC5500,89,Low,Fall/Winter,Party,65,Energetic,Night,Universal
White,#FFFFFF,Maroon,#800000,77,Low,Fall/Winter,Casual,89,Bold,Night,Universal
Turquoise,#40E0D0,Burnt Orange,#CC5500,77,Medium,All Seasons,Party,62,Relaxed,Night,Universal
Mustard Yellow,#FFDB58,White,#FFFFFF,78,Low,Fall/Winter,Casual,93,Classic,Night,Universal
Charcoal Gray,#36454F,Black,#000000,78,High,All Seasons,Formal,100,Classic,Night,Universal
Sky Blue,#87CEEB,Burnt Orange,#CC5500,83,High,Spring/Summer,Casual,59,Bold,Night,Universal
Crimson,#DC143C,Teal,#008080,90,Medium,All Seasons,Casual,68,Classic,Night,Universal
Lavender,#E6E6FA,Beige,#F5F5DC,79,High,All Seasons,Formal,91,Relaxed,Night,Universal
White,#FFFFFF,Maroon,#800000,95,Low,Fall/Winter,Party,99,Bold,Night,Universal
Turquoise,#40E0D0,Denim Blue,#1560BD,93,Low,All Seasons,Formal,80,Sophisticated,Night,Universal
Coral,#FF7F50,Navy Blue,#000080,70,High,All Seasons,Party,63,Relaxed,Night,Universal
Sky Blue,#87CEEB,Gray,#808080,72,Medium,Fall/Winter,Casual,94,Energetic,Night,Universal
Charcoal Gray,#36454F,Burnt Orange,#CC5500,75,Medium,Spring/Summer,Party,60,Energetic,Night,Universal
Black,#000000,Burnt Orange,#CC5500,71,Medium,Spring/Summer,Party,83,Relaxed,Night,Universal
Lavender,#E6E6FA,Gray,#808080,77,Medium,All Seasons,Casual,84,Relaxed,Night,Universal
Crimson,#DC143C,Beige,#F5F5DC,84,Medium,All Seasons,Formal,58,Bold,Night,Universal
Lavender,#E6E6FA,Navy Blue,#000080,65,Medium,Spring/Summer,Party,96,Sophisticated,Night,Universal
Lavender,#E6E6FA,White,#FFFFFF,79,High,Spring/Summer,Party,87,Energetic,Night,Universal
Charcoal Gray,#36454F,White,#FFFFFF,100,Medium,Fall/Winter,Party,61,Bold,Night,Universal
Sky Blue,#87CEEB,Navy Blue,#000080,63,High,Fall/Winter,Casual,70,Classic,Night,Universal
Black,#000000,Khaki,#C3B091,90,Medium,Spring/Summer,Party,92,Relaxed,Night,Universal
Mustard Yellow,#FFDB58,Khaki,#C3B091,97,Low,Spring/Summer,Formal,76,Sophisticated,Night,Universal
Turquoise,#40E0D0,Beige,#F5F5DC,91,Medium,Spring/Summer,Formal,77,Bold,Night,Universal
Sky Blue,#87CEEB,Khaki,#C3B091,61,Medium,All Seasons,Party,61,Energetic,Night,Universal
Crimson,#DC143C,Black,#000000,91,Medium,All Seasons,Party,85,Classic,Night,Universal
Lavender,#E6E6FA,White,#FFFFFF,76,Low,Fall/Winter,Formal,60,Relaxed,Night,Universal
Lavender,#E6E6FA,Black,#000000,89,Medium,All Seasons,Casual,84,Classic,Night,Universal
Black,#000000,Khaki,#C3B091,77,Low,Fall/Winter,Party,63,Bold,Night,Universal
Mustard Yellow,#FFDB58,Navy Blue,#000080,84,High,Fall/Winter,Party,91,Classic,Night,Universal
Turquoise,#40E0D0,Khaki,#C3B091,66,High,Spring/Summer,Formal,100,Energetic,Night,Universal
Crimson,#DC143C,Navy Blue,#000080,86,Medium,Spring/Summer,Party,86,Sophisticated,Night,Universal
Lavender,#E6E6FA,Maroon,#800000,98,High,All Seasons,Casual,96,Relaxed,Night,Universal
Sky Blue,#87CEEB,Black,#000000,94,Medium,All Seasons,Casual,62,Sophisticated,Night,Universal
Olive Green,#808000,Burnt Orange,#CC5500,80,High,Fall/Winter,Formal,62,Sophisticated,Night,Universal
Turquoise,#40E0D0,White,#FFFFFF,100,High,Spring/Summer,Party,92,Energetic,Night,Universal
Crimson,#DC143C,Khaki,#C3B091,95,Medium,Fall/Winter,Party,94,Relaxed,Night,Universal
Black,#000000,Beige,#F5F5DC,86,Medium,Fall/Winter,Casual,89,Relaxed,Night,Universal
Mustard Yellow,#FFDB58,Denim Blue,#1560BD,78,Low,Spring/Summer,Casual,84,Energetic,Night,Universal
Sky Blue,#87CEEB,Black,#000000,79,Low,Spring/Summer,Party,90,Relaxed,Night,Universal
Sky Blue,#87CEEB,Teal,#008080,80,Medium,All Seasons,Casual,57,Bold,Night,Universal
Lavender,#E6E6FA,White,#FFFFFF,60,High,All Seasons,Party,65,Sophisticated,Night,Universal
Lavender,#E6E6FA,Denim Blue,#1560BD,83,Low,Spring/Summer,Party,70,Relaxed,Night,Universal
Black,#000000,Denim Blue,#1560BD,91,Medium,Spring/Summer,Formal,55,Energetic,Night,Universal
Lavender,#E6E6FA,Teal,#008080,60,Medium,Fall/Winter,Formal,82,Relaxed,Night,Universal
Sky Blue,#87CEEB,Khaki,#C3B091,80,Medium,All Seasons,Party,92,Sophisticated,Night,Universal
Black,#000000,Gray,#808080,76,Medium,Spring/Summer,Formal,68,Relaxed,Night,Universal
Coral,#FF7F50,Denim Blue,#1560BD,86,Low,All Seasons,Party,64,Relaxed,Night,Universal
Sky Blue,#87CEEB,Denim Blue,#1560BD,70,Low,Fall/Winter,Party,56,Sophisticated,Night,Universal
Turquoise,#40E0D0,Navy Blue,#000080,67,High,Fall/Winter,Formal,79,Bold,Night,Universal
Olive Green,#808000,Burnt Orange,#CC5500,79,Medium,All Seasons,Casual,98,Classic,Night,Universal
Mustard Yellow,#FFDB58,Navy Blue,#000080,99,High,Spring/Summer,Casual,80,Sophisticated,Night,Universal
Black,#000000,Gray,#808080,62,High,Spring/Summer,Casual,59,Relaxed,Night,Universal
Olive Green,#808000,Beige,#F5F5DC,78,Medium,Fall/Winter,Formal,83,Relaxed,Night,Universal
White,#FFFFFF,Black,#000000,60,Low,Spring/Summer,Party,80,Energetic,Night,Universal
Black,#000000,Navy Blue,#000080,91,Medium,All Seasons,Casual,67,Energetic,Night,Universal
Lavender,#E6E6FA,Burnt Orange,#CC5500,83,Low,Fall/Winter,Casual,90,Classic,Night,Universal
White,#FFFFFF,Maroon,#800000,96,Medium,Fall/Winter,Casual,57,Sophisticated,Night,Universal
Crimson,#DC143C,Navy Blue,#000080,95,Low,Spring/Summer,Formal,98,Bold,Night,Universal
Turquoise,#40E0D0,Gray,#808080,81,High,All Seasons,Formal,77,Energetic,Night,Universal
White,#FFFFFF,Maroon,#800000,64,High,Fall/Winter,Party,59,Energetic,Night,Universal
Mustard Yellow,#FFDB58,Navy Blue,#000080,79,Medium,Spring/Summer,Party,71,Bold,Night,Universal
Lavender,#E6E6FA,Teal,#008080,87,High,Spring/Summer,Party,60,Classic,Night,Universal
Coral,#FF7F50,Beige,#F5F5DC,60,High,All Seasons,Party,95,Classic,Night,Universal
Mustard Yellow,#FFDB58,Burnt Orange,#CC5500,83,Low,All Seasons,Formal,75,Classic,Night,Universal
Sky Blue,#87CEEB,Maroon,#800000,64,Low,Spring/Summer,Party,60,Bold,Night,Universal
Charcoal Gray,#36454F,Denim Blue,#1560BD,92,High,Spring/Summer,Casual,54,Sophisticated,Night,Universal
Lavender,#E6E6FA,Maroon,#800000,97,Low,All Seasons,Party,96,Sophisticated,Night,Universal
Mustard Yellow,#FFDB58,Denim Blue,#1560BD,94,Low,All Seasons,Formal,88,Energetic,Night,Universal
Olive Green,#808000,Navy Blue,#000080,78,Low,Spring/Summer,Formal,79,Energetic,Night,Universal
Turquoise,#40E0D0,Gray,#808080,64,High,Spring/Summer,Formal,81,Classic,Night,Universal
Turquoise,#40E0D0,Denim Blue,#1560BD,92,High,Spring/Summer,Formal,60,Relaxed,Night,Universal
Lavender,#E6E6FA,Navy Blue,#000080,81,High,Fall/Winter,Party,63,Bold,Night,Universal
Crimson,#DC143C,Teal,#008080,70,Low,Fall/Winter,Casual,56,Bold,Night,Universal
Mustard Yellow,#FFDB58,Black,#000000,69,Low,Spring/Summer,Formal,83,Relaxed,Night,Universal
Olive Green,#808000,Black,#000000,72,Medium,Fall/Winter,Party,58,Bold,Night,Universal
Turquoise,#40E0D0,Beige,#F5F5DC,67,High,All Seasons,Casual,60,Bold,Night,Universal
Charcoal Gray,#36454F,Gray,#808080,86,High,All Seasons,Formal,85,Sophisticated,Night,Universal
White,#FFFFFF,Burnt Orange,#CC5500,83,Medium,Spring/Summer,Formal,70,Classic,Night,Universal
Lavender,#E6E6FA,Burnt Orange,#CC5500,68,Low,Spring/Summer,Formal,73,Relaxed,Night,Universal
Mustard Yellow,#FFDB58,Navy Blue,#000080,60,Medium,All Seasons,Party,95,Relaxed,Night,Universal
Crimson,#DC143C,Navy Blue,#000080,99,Low,Spring/Summer,Formal,72,Sophisticated,Night,Universal
White,#FFFFFF,Black,#000000,78,Medium,Fall/Winter,Casual,62,Sophisticated,Night,Universal
Olive Green,#808000,Denim Blue,#1560BD,90,Low,Spring/Summer,Party,57,Energetic,Night,Universal
Black,#000000,White,#FFFFFF,72,Medium,All Seasons,Casual,64,Sophisticated,Night,Universal
Charcoal Gray,#36454F,Burnt Orange,#CC5500,98,Medium,All Seasons,Party,92,Energetic,Night,Universal
Mustard Yellow,#FFDB58,Maroon,#800000,77,Medium,All Seasons,Party,57,Energetic,Night,Universal
Crimson,#DC143C,Gray,#808080,60,Low,Spring/Summer,Casual,78,Energetic,Night,Universal
Charcoal Gray,#36454F,Maroon,#800000,86,Low,All Seasons,Formal,62,Classic,Night,Universal
Lavender,#E6E6FA,Black,#000000,94,Low,All Seasons,Party,66,Bold,Night,Universal
Black,#000000,Maroon,#800000,87,High,Spring/Summer,Formal,63,Classic,Night,Universal
Coral,#FF7F50,Khaki,#C3B091,100,High,Fall/Winter,Formal,83,Classic,Night,Universal
Olive Green,#808000,Burnt Orange,#CC5500,90,High,All Seasons,Formal,53,Bold,Night,Universal
Turquoise,#40E0D0,Gray,#808080,74,Medium,Fall/Winter,Party,98,Energetic,Night,Universal
Turquoise,#40E0D0,Navy Blue,#000080,86,Low,Fall/Winter,Party,51,Relaxed,Night,Universal
Turquoise,#40E0D0,Gray,#808080,98,High,Spring/Summer,Formal,67,Relaxed,Night,Universal
Sky Blue,#87CEEB,Khaki,#C3B091,64,High,Fall/Winter,Casual,93,Relaxed,Night,Universal
Coral,#FF7F50,Black,#000000,72,Medium,Fall/Winter,Casual,77,Classic,Night,Universal
Coral,#FF7F50,Khaki,#C3B091,68,High,All Seasons,Casual,88,Energetic,Night,Universal
Mustard Yellow,#FFDB58,Maroon,#800000,74,Medium,All Seasons,Casual,56,Relaxed,Night,Universal
Coral,#FF7F50,Beige,#F5F5DC,91,Medium,Spring/Summer,Casual,75,Relaxed,Night,Universal
White,#FFFFFF,Burnt Orange,#CC5500,83,Low,Fall/Winter,Party,69,Classic,Night,Universal
Coral,#FF7F50,Navy Blue,#000080,95,Medium,All Seasons,Casual,83,Classic,Night,Universal
Olive Green,#808000,Black,#000000,68,Low,Spring/Summer,Casual,99,Relaxed,Night,Universal
White,#FFFFFF,Beige,#F5F5DC,99,Medium,Spring/Summer,Formal,100,Relaxed,Night,Universal
White,#FFFFFF,White,#FFFFFF,84,Low,All Seasons,Casual,79,Classic,Night,Universal
Crimson,#DC143C,Teal,#008080,75,Low,Spring/Summer,Formal,92,Bold,Night,Universal
Coral,#FF7F50,Gray,#808080,77,High,Fall/Winter,Party,56,Relaxed,Night,Universal
Black,#000000,Beige,#F5F5DC,71,Low,Spring/Summer,Casual,86,Relaxed,Night,Universal
Lavender,#E6E6FA,Denim Blue,#1560BD,61,Low,Fall/Winter,Party,60,Relaxed,Night,Universal
White,#FFFFFF,Gray,#808080,61,Low,Fall/Winter,Casual,59,Sophisticated,Night,Universal
Olive Green,#808000,Khaki,#C3B091,59,Low,Spring/Summer,Party,69,Classic,Evening,Dark
Lavender,#E6E6FA,White,#FFFFFF,75,Low,All Seasons,Casual,68,Elegant,Morning,Fair
Teal,#008080,Beige,#F5F5DC,53,High,Fall/Winter,Formal,50,Bold,Morning,Dark
Navy Blue,#000080,Gray,#808080,68,Low,Fall/Winter,Party,98,Relaxed,Evening,Dark
Burgundy,#800020,Black,#000000,90,High,Spring/Summer,Formal,54,Relaxed,Night,Fair
Peach,#FFDAB9,Brown,#A52A2A,81,Low,All Seasons,Formal,99,Classic,Morning,Universal
Charcoal,#36454F,Olive Green,#808000,80,High,Fall/Winter,Party,60,Sophisticated,Night,Medium
